name,attributes
p1_pkg,p1_0:(Temperature: 22℃ Humidity: 39% videoID: 20160418215330)
p1_0_t,p1_0_t:(Temperature: 27℃ Humidity: 28% videoID: 20160420161707)
p2_0,p2_0:(Temperature: 25℃ Humidity: 36% videoID: 20160419005330)
p2_0_t,p2_0_t:(Temperature: 27℃ Humidity: 33% videoID: 20160420161707)
p4_0,p4_0:(Temperature: 30℃ Humidity: 37% videoID: 20160419035330)
p4_0_t,p4_0_t:(Temperature: 21℃ Humidity: 28% videoID: 20160420161707)
p8_0,p8_0:(Temperature: 22℃ Humidity: 28% videoID: 20160419065330)
p8_0_t,p8_0_t:(Temperature: 30℃ Humidity: 44% videoID: 20160420161707)
c0_0,c0_0:(Temperature: 20℃ Humidity: 28% videoID: 20160419095330)
p1_pkg,p1_1:(Temperature: 21℃ Humidity: 41% videoID: 20160418215330)
p1_1_t,p1_1_t:(Temperature: 28℃ Humidity: 40% videoID: 20160420161707)
p2_1,p2_1:(Temperature: 29℃ Humidity: 44% videoID: 20160419005330)
p2_1_t,p2_1_t:(Temperature: 25℃ Humidity: 30% videoID: 20160420161707)
p4_1,p4_1:(Temperature: 29℃ Humidity: 39% videoID: 20160419045330)
p4_1_t,p4_1_t:(Temperature: 26℃ Humidity: 42% videoID: 20160420161707)
p8_0,p8_0:(Temperature: 22℃ Humidity: 28% videoID: 20160419065330)
p8_0_t,p8_0_t:(Temperature: 23℃ Humidity: 36% videoID: 20160420161707)
c0_0,c0_0:(Temperature: 20℃ Humidity: 28% videoID: 20160419095330)
p1_pkg,p1_2:(Temperature: 30℃ Humidity: 37% videoID: 20160418215330)
p1_2_t,p1_2_t:(Temperature: 30℃ Humidity: 42% videoID: 20160420161707)
p2_2,p2_2:(Temperature: 22℃ Humidity: 35% videoID: 20160419015330)
p2_2_t,p2_2_t:(Temperature: 24℃ Humidity: 29% videoID: 20160420161707)
p4_2,p4_2:(Temperature: 22℃ Humidity: 38% videoID: 20160419055330)
p4_2_t,p4_2_t:(Temperature: 27℃ Humidity: 25% videoID: 20160420161707)
p8_1,p8_1:(Temperature: 22℃ Humidity: 26% videoID: 20160419085330)
p8_1_t,p8_1_t:(Temperature: 29℃ Humidity: 28% videoID: 20160420161707)
c0_1,c0_1:(Temperature: 23℃ Humidity: 27% videoID: 20160419115330)
p1_pkg,p1_3:(Temperature: 27℃ Humidity: 30% videoID: 20160418225330)
p1_3_t,p1_3_t:(Temperature: 24℃ Humidity: 30% videoID: 20160420161707)
p2_3,p2_3:(Temperature: 24℃ Humidity: 42% videoID: 20160419035330)
p2_3_t,p2_3_t:(Temperature: 22℃ Humidity: 33% videoID: 20160420161707)
p4_3,p4_3:(Temperature: 24℃ Humidity: 26% videoID: 20160419075330)
p4_3_t,p4_3_t:(Temperature: 27℃ Humidity: 38% videoID: 20160420161707)
p8_1,p8_1:(Temperature: 22℃ Humidity: 26% videoID: 20160419085330)
p8_1_t,p8_1_t:(Temperature: 25℃ Humidity: 38% videoID: 20160420161707)
c0_1,c0_1:(Temperature: 23℃ Humidity: 27% videoID: 20160419115330)
p1_pkg,p1_4:(Temperature: 25℃ Humidity: 41% videoID: 20160418225330)
p1_4_t,p1_4_t:(Temperature: 24℃ Humidity: 33% videoID: 20160420161707)
p2_4,p2_4:(Temperature: 26℃ Humidity: 47% videoID: 20160419045330)
p2_4_t,p2_4_t:(Temperature: 23℃ Humidity: 34% videoID: 20160420161707)
p4_4,p4_4:(Temperature: 29℃ Humidity: 50% videoID: 20160419095330)
p4_4_t,p4_4_t:(Temperature: 25℃ Humidity: 25% videoID: 20160420161707)
p8_2,p8_2:(Temperature: 25℃ Humidity: 25% videoID: 20160419125330)
p8_2_t,p8_2_t:(Temperature: 27℃ Humidity: 40% videoID: 20160420161707)
c0_2,c0_2:(Temperature: 27℃ Humidity: 40% videoID: 20160419155330)
p1_pkg,p1_5:(Temperature: 20℃ Humidity: 26% videoID: 20160418225330)
p1_5_t,p1_5_t:(Temperature: 23℃ Humidity: 46% videoID: 20160420161707)
p2_5,p2_5:(Temperature: 29℃ Humidity: 46% videoID: 20160419045330)
p2_5_t,p2_5_t:(Temperature: 27℃ Humidity: 41% videoID: 20160420161707)
p4_5,p4_5:(Temperature: 21℃ Humidity: 33% videoID: 20160419115330)
p4_5_t,p4_5_t:(Temperature: 20℃ Humidity: 40% videoID: 20160420161707)
p8_2,p8_2:(Temperature: 25℃ Humidity: 25% videoID: 20160419125330)
p8_2_t,p8_2_t:(Temperature: 28℃ Humidity: 39% videoID: 20160420161707)
c0_2,c0_2:(Temperature: 27℃ Humidity: 40% videoID: 20160419155330)
p1_pkg,p1_6:(Temperature: 27℃ Humidity: 49% videoID: 20160418225330)
p1_6_t,p1_6_t:(Temperature: 21℃ Humidity: 48% videoID: 20160420161707)
p2_6,p2_6:(Temperature: 24℃ Humidity: 50% videoID: 20160419055330)
p2_6_t,p2_6_t:(Temperature: 24℃ Humidity: 27% videoID: 20160420161707)
p4_6,p4_6:(Temperature: 30℃ Humidity: 43% videoID: 20160419145330)
p4_6_t,p4_6_t:(Temperature: 22℃ Humidity: 28% videoID: 20160420161707)
p8_3,p8_3:(Temperature: 29℃ Humidity: 47% videoID: 20160419195330)
p8_3_t,p8_3_t:(Temperature: 29℃ Humidity: 27% videoID: 20160420161707)
c0_3,c0_3:(Temperature: 21℃ Humidity: 48% videoID: 20160419215330)
p1_pkg,p1_7:(Temperature: 21℃ Humidity: 49% videoID: 20160418235330)
p1_7_t,p1_7_t:(Temperature: 29℃ Humidity: 29% videoID: 20160420161707)
p2_7,p2_7:(Temperature: 28℃ Humidity: 30% videoID: 20160419075330)
p2_7_t,p2_7_t:(Temperature: 28℃ Humidity: 43% videoID: 20160420161707)
p4_7,p4_7:(Temperature: 27℃ Humidity: 40% videoID: 20160419165330)
p4_7_t,p4_7_t:(Temperature: 20℃ Humidity: 47% videoID: 20160420161707)
p8_3,p8_3:(Temperature: 29℃ Humidity: 47% videoID: 20160419195330)
p8_3_t,p8_3_t:(Temperature: 28℃ Humidity: 48% videoID: 20160420161707)
c0_3,c0_3:(Temperature: 21℃ Humidity: 48% videoID: 20160419215330)
p1_pkg,p1_8:(Temperature: 29℃ Humidity: 26% videoID: 20160418235330)
p1_8_t,p1_8_t:(Temperature: 22℃ Humidity: 34% videoID: 20160420161707)
p2_8,p2_8:(Temperature: 27℃ Humidity: 50% videoID: 20160419095330)
p2_8_t,p2_8_t:(Temperature: 30℃ Humidity: 49% videoID: 20160420161707)
p4_8,p4_8:(Temperature: 29℃ Humidity: 27% videoID: 20160419185330)
p4_8_t,p4_8_t:(Temperature: 23℃ Humidity: 28% videoID: 20160420161707)
p8_4,p8_4:(Temperature: 20℃ Humidity: 42% videoID: 20160419235330)
p8_4_t,p8_4_t:(Temperature: 22℃ Humidity: 48% videoID: 20160420161707)
c0_4,c0_4:(Temperature: 28℃ Humidity: 35% videoID: 20160420025330)
p1_pkg,p1_9:(Temperature: 20℃ Humidity: 47% videoID: 20160418235330)
p1_9_t,p1_9_t:(Temperature: 24℃ Humidity: 40% videoID: 20160420161707)
p2_9,p2_9:(Temperature: 23℃ Humidity: 47% videoID: 20160419095330)
p2_9_t,p2_9_t:(Temperature: 27℃ Humidity: 48% videoID: 20160420161707)
p4_9,p4_9:(Temperature: 30℃ Humidity: 41% videoID: 20160419205330)
p4_9_t,p4_9_t:(Temperature: 24℃ Humidity: 28% videoID: 20160420161707)
p8_4,p8_4:(Temperature: 20℃ Humidity: 42% videoID: 20160419235330)
p8_4_t,p8_4_t:(Temperature: 28℃ Humidity: 38% videoID: 20160420161707)
c0_4,c0_4:(Temperature: 28℃ Humidity: 35% videoID: 20160420025330)
p1_pkg,p1_10:(Temperature: 23℃ Humidity: 39% videoID: 20160418235330)
p1_10_t,p1_10_t:(Temperature: 23℃ Humidity: 34% videoID: 20160420161707)
p2_10,p2_10:(Temperature: 30℃ Humidity: 46% videoID: 20160419105330)
p2_10_t,p2_10_t:(Temperature: 30℃ Humidity: 49% videoID: 20160420161707)
p4_10,p4_10:(Temperature: 25℃ Humidity: 27% videoID: 20160419225330)
p4_10_t,p4_10_t:(Temperature: 30℃ Humidity: 41% videoID: 20160420161707)
p8_5,p8_5:(Temperature: 22℃ Humidity: 43% videoID: 20160420025330)
p8_5_t,p8_5_t:(Temperature: 20℃ Humidity: 43% videoID: 20160420161707)
c0_5,c0_5:(Temperature: 25℃ Humidity: 25% videoID: 20160420055330)
p1_pkg,p1_11:(Temperature: 22℃ Humidity: 34% videoID: 20160419005330)
p1_11_t,p1_11_t:(Temperature: 24℃ Humidity: 32% videoID: 20160420161707)
p2_11,p2_11:(Temperature: 23℃ Humidity: 41% videoID: 20160419125330)
p2_11_t,p2_11_t:(Temperature: 27℃ Humidity: 28% videoID: 20160420161707)
p4_11,p4_11:(Temperature: 30℃ Humidity: 30% videoID: 20160420005330)
p4_11_t,p4_11_t:(Temperature: 26℃ Humidity: 43% videoID: 20160420161707)
p8_5,p8_5:(Temperature: 22℃ Humidity: 43% videoID: 20160420025330)
p8_5_t,p8_5_t:(Temperature: 20℃ Humidity: 42% videoID: 20160420161707)
c0_5,c0_5:(Temperature: 25℃ Humidity: 25% videoID: 20160420055330)
p1_pkg,p1_12:(Temperature: 28℃ Humidity: 31% videoID: 20160419005330)
p1_12_t,p1_12_t:(Temperature: 24℃ Humidity: 47% videoID: 20160420161707)
p2_12,p2_12:(Temperature: 29℃ Humidity: 32% videoID: 20160419135330)
p2_12_t,p2_12_t:(Temperature: 25℃ Humidity: 45% videoID: 20160420161707)
p4_12,p4_12:(Temperature: 23℃ Humidity: 34% videoID: 20160420025330)
p4_12_t,p4_12_t:(Temperature: 27℃ Humidity: 27% videoID: 20160420161707)
p8_6,p8_6:(Temperature: 20℃ Humidity: 39% videoID: 20160420065330)
p8_6_t,p8_6_t:(Temperature: 30℃ Humidity: 41% videoID: 20160420161707)
c0_6,c0_6:(Temperature: 27℃ Humidity: 46% videoID: 20160420095330)
p1_pkg,p1_13:(Temperature: 28℃ Humidity: 34% videoID: 20160419005330)
p1_13_t,p1_13_t:(Temperature: 20℃ Humidity: 38% videoID: 20160420161707)
p2_13,p2_13:(Temperature: 23℃ Humidity: 25% videoID: 20160419135330)
p2_13_t,p2_13_t:(Temperature: 22℃ Humidity: 26% videoID: 20160420161707)
p4_13,p4_13:(Temperature: 21℃ Humidity: 34% videoID: 20160420045330)
p4_13_t,p4_13_t:(Temperature: 26℃ Humidity: 25% videoID: 20160420161707)
p8_6,p8_6:(Temperature: 20℃ Humidity: 39% videoID: 20160420065330)
p8_6_t,p8_6_t:(Temperature: 28℃ Humidity: 29% videoID: 20160420161707)
c0_6,c0_6:(Temperature: 27℃ Humidity: 46% videoID: 20160420095330)
p1_pkg,p1_14:(Temperature: 28℃ Humidity: 48% videoID: 20160419005330)
p1_14_t,p1_14_t:(Temperature: 21℃ Humidity: 50% videoID: 20160420161707)
p2_14,p2_14:(Temperature: 30℃ Humidity: 30% videoID: 20160419145330)
p2_14_t,p2_14_t:(Temperature: 28℃ Humidity: 44% videoID: 20160420161707)
p4_14,p4_14:(Temperature: 27℃ Humidity: 47% videoID: 20160420065330)
p4_14_t,p4_14_t:(Temperature: 28℃ Humidity: 41% videoID: 20160420161707)
p8_7,p8_7:(Temperature: 21℃ Humidity: 29% videoID: 20160420115330)
p8_7_t,p8_7_t:(Temperature: 27℃ Humidity: 36% videoID: 20160420161707)
c0_7,c0_7:(Temperature: 20℃ Humidity: 29% videoID: 20160420135330)
p1_pkg,p1_15:(Temperature: 28℃ Humidity: 45% videoID: 20160419015330)
p1_15_t,p1_15_t:(Temperature: 25℃ Humidity: 45% videoID: 20160420161707)
p2_15,p2_15:(Temperature: 28℃ Humidity: 39% videoID: 20160419165330)
p2_15_t,p2_15_t:(Temperature: 28℃ Humidity: 42% videoID: 20160420161707)
p4_15,p4_15:(Temperature: 23℃ Humidity: 29% videoID: 20160420085330)
p4_15_t,p4_15_t:(Temperature: 24℃ Humidity: 33% videoID: 20160420161707)
p8_7,p8_7:(Temperature: 21℃ Humidity: 29% videoID: 20160420115330)
p8_7_t,p8_7_t:(Temperature: 25℃ Humidity: 42% videoID: 20160420161707)
c0_7,c0_7:(Temperature: 20℃ Humidity: 29% videoID: 20160420135330)
p1_pkg,p1_16:(Temperature: 27℃ Humidity: 39% videoID: 20160419015330)
p1_16_t,p1_16_t:(Temperature: 29℃ Humidity: 25% videoID: 20160420161707)
p2_16,p2_16:(Temperature: 23℃ Humidity: 35% videoID: 20160419175330)
p2_16_t,p2_16_t:(Temperature: 22℃ Humidity: 34% videoID: 20160420161707)
p4_16,p4_16:(Temperature: 24℃ Humidity: 48% videoID: 20160420105330)
p4_16_t,p4_16_t:(Temperature: 27℃ Humidity: 36% videoID: 20160420161707)
p8_8,p8_8:(Temperature: 25℃ Humidity: 27% videoID: 20160420155330)
p8_8_t,p8_8_t:(Temperature: 22℃ Humidity: 41% videoID: 20160420161707)
c0_8,c0_8:(Temperature: 29℃ Humidity: 33% videoID: 20160420185330)
p1_pkg,p1_17:(Temperature: 21℃ Humidity: 48% videoID: 20160419015330)
p1_17_t,p1_17_t:(Temperature: 23℃ Humidity: 34% videoID: 20160420161707)
p2_17,p2_17:(Temperature: 25℃ Humidity: 42% videoID: 20160419175330)
p2_17_t,p2_17_t:(Temperature: 21℃ Humidity: 28% videoID: 20160420161707)
p4_17,p4_17:(Temperature: 24℃ Humidity: 33% videoID: 20160420125330)
p4_17_t,p4_17_t:(Temperature: 28℃ Humidity: 39% videoID: 20160420161707)
p8_8,p8_8:(Temperature: 25℃ Humidity: 27% videoID: 20160420155330)
p8_8_t,p8_8_t:(Temperature: 27℃ Humidity: 34% videoID: 20160420161707)
c0_8,c0_8:(Temperature: 29℃ Humidity: 33% videoID: 20160420185330)
p1_pkg,p1_18:(Temperature: 27℃ Humidity: 29% videoID: 20160419015330)
p1_18_t,p1_18_t:(Temperature: 29℃ Humidity: 49% videoID: 20160420161707)
p2_18,p2_18:(Temperature: 30℃ Humidity: 40% videoID: 20160419185330)
p2_18_t,p2_18_t:(Temperature: 27℃ Humidity: 26% videoID: 20160420161707)
p4_18,p4_18:(Temperature: 24℃ Humidity: 42% videoID: 20160420145330)
p4_18_t,p4_18_t:(Temperature: 28℃ Humidity: 46% videoID: 20160420161707)
p8_9,p8_9:(Temperature: 23℃ Humidity: 43% videoID: 20160420185330)
p8_9_t,p8_9_t:(Temperature: 24℃ Humidity: 41% videoID: 20160420161707)
c0_9,c0_9:(Temperature: 26℃ Humidity: 28% videoID: 20160420215330)
p1_pkg,p1_19:(Temperature: 20℃ Humidity: 35% videoID: 20160419025330)
p1_19_t,p1_19_t:(Temperature: 24℃ Humidity: 47% videoID: 20160420161707)
p2_19,p2_19:(Temperature: 26℃ Humidity: 28% videoID: 20160419205330)
p2_19_t,p2_19_t:(Temperature: 27℃ Humidity: 45% videoID: 20160420161707)
p4_19,p4_19:(Temperature: 30℃ Humidity: 47% videoID: 20160420165330)
p4_19_t,p4_19_t:(Temperature: 23℃ Humidity: 42% videoID: 20160420161707)
p8_9,p8_9:(Temperature: 23℃ Humidity: 43% videoID: 20160420185330)
p8_9_t,p8_9_t:(Temperature: 22℃ Humidity: 35% videoID: 20160420161707)
c0_9,c0_9:(Temperature: 26℃ Humidity: 28% videoID: 20160420215330)
