src,dst,relation
p2_0,p2_0_t,t
p2_0_t,p4_0,p
p3_0,p3_0_t,t
p3_0_t,p4_0,p
p3_1,p3_1_t,t
p3_1_t,p4_0,p
p3_2,p3_2_t,t
p3_2_t,p4_0,p
p3_3,p3_3_t,t
p3_3_t,p4_0,p
p0_0,p0_0_t,t
p0_0_t,p2_0,p
p0_1,p0_1_t,t
p0_1_t,p2_0,p
p1_0,p1_0_t,t
p1_0_t,p2_0,p
p2_1,p2_1_t,t
p2_1_t,p4_1,p
p3_4,p3_4_t,t
p3_4_t,p4_1,p
p3_5,p3_5_t,t
p3_5_t,p4_1,p
p3_6,p3_6_t,t
p3_6_t,p4_1,p
p3_7,p3_7_t,t
p3_7_t,p4_1,p
p0_2,p0_2_t,t
p0_2_t,p2_1,p
p0_3,p0_3_t,t
p0_3_t,p2_1,p
p1_1,p1_1_t,t
p1_1_t,p2_1,p
p2_2,p2_2_t,t
p2_2_t,p4_2,p
p3_8,p3_8_t,t
p3_8_t,p4_2,p
p3_9,p3_9_t,t
p3_9_t,p4_2,p
p3_10,p3_10_t,t
p3_10_t,p4_2,p
p3_11,p3_11_t,t
p3_11_t,p4_2,p
p0_4,p0_4_t,t
p0_4_t,p2_2,p
p0_5,p0_5_t,t
p0_5_t,p2_2,p
p1_2,p1_2_t,t
p1_2_t,p2_2,p
